;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,5 GS HIBRIDO AT;36,990;38840;null;null;null;;;;;;;;;null;null
YUAN PRO;;null;null;null;null;;;;;;;;;null;null
5P GL ELECTRICO AT;29,990;31490;null;null;null;;;;;;;;;null;null
5P GS ELECTRICO AT;30,990;32540;null;null;null;;;;;;;;;null;null
;;null;null;null;null;;;;;;;;;null;null
CHANGAN;;null;null;null;null;;;;;;;;;null;null
CS15;;null;null;null;null;;;;;;;;;null;null
5P 1,5 COMFORT MT;;null;null;null;null;15463;14690;14262;;;;;;null;null
5P 1,5 COMFORT AT;;null;null;null;null;16822;15981;15516;;;;;;null;null
5P 1,5 LUXURY AT;;null;null;null;null;18275;17361;16855;;;;;;null;null
CS55;;null;null;null;null;;;;;CHAN G;AN0KM;EN US$;;null;null
5P 1,5 PLUS PHEV HIBRIDO;32,000;34540;null;null;null;;;;;;;;;null;null
CS75;;null;null;null;null;;;;;;;;;null;null
5P 1,8 T ELITE 6AT;;null;null;null;null;29793;28303;27479;;;;;;null;null
5P 1,8 T LUXURY 6AT 4WD;;null;null;null;null;34947;33200;32233;;;;;;null;null
M;;null;null;null;null;;;;;;;;;null;null
201 1,3 CARGO VAN;;21767;20730;19743;18281;17410;16540;16058;;;;;;null;null
MD;;null;null;null;null;;;;;;;;;null;null
201 1,3 CARGO BOX;;23361;22248;21189;19619;18685;17751;17234;;;;;;null;null
201 1,3 CARGO REFRIGERADO;;27248;25950;24714;null;;;;;;;;;null;null
201 1,3 PICK UP;;16626;15835;15080;13963;13298;12634;12266;;;;;;null;null
;;null;null;null;null;;;;;;;;;null;null
CHERY;;null;null;null;null;;;;;;;;;null;null
ARRIZO 5;;null;null;null;null;;;;;;;;;null;null
4P 1,5 COMFORT MT;;null;null;null;null;14968;14220;13415;12185;10497;;;;null;null
4P 1,5 LUXURY MT;;null;null;null;null;17432;16561;15623;14190;12225;;;;null;null
4P 1,5 LUXURY 7CVT;;null;null;null;null;17432;16561;15623;14190;12225;;;;null;null
FACE;;null;null;null;null;;;;;;;;;null;null
5P 1,3 LUXURY;;null;null;null;null;;;;;;;8202;7892;7521;7302
FULWIN;;null;null;null;null;;;;;;;;;null;null
5P 1,5;;null;null;null;null;;;;;;;8096;7789;7423;null
;2025;2024;2023;2022;2021;null;2020;2019;2018;2017;2016;2014;2013;null;2012
4P 1,5;;null;null;null;null;null;;;;;;7789;7423;null;null
5P 1,5 2;;null;null;null;13983;null;13283;12531;11382;9806;8957;;;null;null
4P 1,5 2;;null;null;null;13983;null;13283;12531;11382;9806;8957;;;null;null
QQ;;null;null;null;null;null;;;;;;;;null;null
5P 1,1 BASIC;;null;null;null;null;null;;;;;;6536;6229;null;6048
5P 1,1 LIGHT;;null;null;null;null;null;;;;;;7457;7106;null;6900
5P 1,1 LIGHT SECURITY;;null;null;null;null;null;;;;;8672;8030;;null;null
5P 1,1 COMFORT;;null;null;null;null;null;;;;;;8091;7711;null;7487
5P 1,1 COMFORT SECURITY;;null;null;null;null;null;;;;;9338;8673;;null;null
5P 1,0 LIGHT SECURITY (LN);;null;null;12855;12243;null;11630;11220;10229;9942;9522;;;null;null
5P 1,0 COMFORT SECURITY (LN);;null;null;null;13701;null;13016;12557;11448;11127;10634;;;null;null
SKIN;;null;null;null;null;null;;;;;;;;null;null
5P 1,6;;null;null;null;null;null;;;;;;7660;7300;null;6967
4P 1,6;;null;null;null;null;null;;;;;;7660;7300;null;6967
TIGGO;;null;null;null;null;null;;;;;;;;null;null
5P 2,0 4X2 COMFORT;;null;null;null;null;null;;;;;;;10681;null;10545
5P 2,0 4X4 LUXURY;;null;null;null;null;null;;;;;;;11501;null;11355
5P 2,0 4X2 COMFORT MT 2013;;null;null;null;null;null;;;;;12965;11682;11323;null;null
5P 2,0 4X2 LUXURY AT 2013;;null;null;null;null;null;;;;;14240;13115;12712;null;null
5P 2,0 4X4 LUXURY MT 2013;;null;null;null;null;null;;;;;14423;13382;12971;null;null
5P 1,6 4X2 COMFORT;;null;null;null;null;null;;;;;11418;;;null;null
TIGGO 2;;null;null;null;null;null;;;;;;;;null;null
5P 1,5 4X2 COMFORT MT;;null;null;17105;16291;null;15476;15016;14021;;;;;null;null
5P 1,5 4X2 COMFORT AT;;null;null;20122;19164;null;18206;;;;;;;null;null
5P 1,5 4X2 LUXURY MT;;null;null;19142;18230;null;17319;16804;15690;;;;;null;null
5P 1,5 4X2 COMFORT MT PRO;25858;24626;22164;20522;19545;null;null;null;null;null;null;null;null;null;null
5P 1,5 4X2 COMFORT CVT PRO;28586;27225;24503;22688;21607;null;;;;;;ERY 0KM;;;null
5P 1,5 4X2 LUXURY MT PRO;26561;25296;22766;21080;20076;null;;;;;;;;null;null
5P 1,5 4X2 STD PRO;23905;22766;null;null;null;null;;;;;;;;null;null
5P 1,5 4X2 CONFORT PRO MAX;26125;null;null;null;null;null;;;;;;;;null;null
5P 1,5 4X2 CONFORT PRO MAX CVT9;28738;null;null;null;null;null;;;;;;;;null;null
TIGGO 3;;null;null;null;null;null;;;;;;;;null;null
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,6 4X2 COMFORT FL;;null;null;20167;18673;17784;16894;16038;14976;13258;12094;;;null;null
5P 1,6 4X2 COMFORT;;null;null;null;null;;;;15764;13956;12731;;;null;null
5P 1,6 4X2 LUXURY;;null;null;null;null;19540;18563;17650;16481;14590;;;;null;null
5P 1,6 4X2 LUXURY CVT;;null;null;null;null;20883;19838;18688;17450;15448;;;;null;null
TIGGO 4;;null;null;null;null;;;;;;;;;null;null
5P 2,0 4X2 COMFORT MT;;null;null;null;17586;16749;;;;;;;;null;null
5P 2,0 4X2 COMFORT CVT;;null;null;null;20993;19993;;;;;;;;null;null
5P 1,5 4X2 COMFORT MT PRO;;26880;25600;20736;19200;18286;;;;;;;;null;null
5P 1,5 4X2 COMFORT CVT PRO;;29987;28559;23133;21419;20399;;;;;;;;null;null
5P 1,5 T 4X2 LUXURY CVT PRO;;32518;30969;25085;23227;;;;;;;;;null;null
5P 1,5 4X2 HEV PREMIUM HYBRID;33,500;35008;null;null;null;;;;;;;;;null;null
TIGGO 5;;null;null;null;null;;;;;;;;;null;null
5P 2,0 4X2 COMFORT MT;;null;null;null;null;;;;17338;15349;14005;;;null;null
5P 2,0 4X2 COMFORT CVT;;null;null;null;null;;;;18820;16661;15355;;;null;null
5P 2,0 4X2 LUXURY CVT;;null;null;null;null;;;;20093;17788;16286;;;null;null
5P 2,0 4X2 COMFORT MT 2018;;null;null;23929;22157;21102;20047;18817;17777;15738;;;;null;null
5P 2,0 4X2 COMFORT CVT 2018;;null;null;null;null;22042;20940;19767;18641;16502;;;;null;null
5P 2,0 4X2 LUXURY 2018;;null;null;null;null;22922;21776;20513;19154;;;;;null;null
5P 2,0 4X2 LUXURY CVT 2018;;null;null;null;null;23933;22736;21417;20245;18291;;;;null;null
TIGGO 7;;null;null;null;null;;;;;;;;;null;null
5P 1,5 T 4X2 PREMIUM CVT PRO HYBRID;32,900;37202;null;null;null;;;;;;;;;null;null
TIGGO 8;;null;null;null;null;;;;;;;;;null;null
5P 1,6 T 4X2 LUXURY CVT PRO ADAS;;38528;36694;32989;null;;;;;;;;;null;null
5P 1,6 T 4X2 LUXURY CVT PRO ADAS 2026;46,600;51832;null;null;null;;;;;;;;;null;null
;;null;null;null;null;;;;;;;;;null;null
CHEVROLET;;null;null;null;null;;;;;;;;;null;null
AGILE;;null;null;null;null;;;;;;;;;null;null
5P 1,4 LS;;null;null;null;null;;;;;;;;;null;10016
5P 1,4 LT;;null;null;null;null;;;;;;;;;null;10758
5P 1,4 LTZ;;null;null;null;null;;;;;;;;;null;11127
5P 1,4 LS SPIRIT;;null;null;null;null;;;;;;;;;10407;10090
5P 1,4 LT SPIRIT;;null;null;null;null;;;;;;;;;11135;10800
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 1,4 LTZ SPIRIT;;null;null;null;null;;;;;;;;;11477;11209
5P 1,4 LS ABG ABS 2014;;null;null;null;null;;;;;13422;12373;11721;11314;11012;null
5P 1,4 LT ABG ABS 2014;;null;null;null;null;;;;;14146;13098;12415;12001;11638;null
5P 1,4 LT ABG ABS LLANTAS 2014;;null;null;null;null;;;;;;;12558;12160;null;null
5P 1,4 LTZ ABG ABS 2014;;null;null;null;null;;;;;;;12747;12398;12039;null
5P 1,4 LTZ ABG ABS EFFECT 2014;;null;null;null;null;;;;;;13530;12986;12557;null;null
AVEO;;null;null;null;null;;;;;;;;;null;null
4P 1,6 16V LS G3;;null;null;null;null;;;;;;;;9789;8987;8725
4P 1,6 16V LT G3;;null;null;null;null;;;;;;;;10280;9549;9271
4P 1,6 16V LT G3 AT;;null;null;null;null;;;;;;;;10611;9937;9648
