;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
5P 2,0 TDi SPORTBACK S-TRONIC PREMIUM;;null;null;null;null;;;;;;;;;null;20480
CABRIO 1,8 TFSI;;null;null;null;null;;;;;;;28786;26683;23797;20832
CABRIO 1,8 TFSI S-TRONIC;;null;null;null;null;;;;;;;29811;27633;24645;21600
A4;;null;null;null;null;;;;;;;;;null;null
4P 1,8 TFSI ATTRACTION;;null;null;null;null;;;;;;;;;null;14754
4P 1,8 TFSI ATTRACTION MULTI;;null;null;null;null;;;;;;;;;null;15904
4P 1,8 TFSI PLUS AMBITION;;null;null;null;null;;;;;;;;;null;16397
4P 1,8 TFSI PLUS AMBITION MULTI;;null;null;null;null;;;;;;;;;null;17547
4P 1,8 TFSI SPORT CRO;;null;null;null;null;;;;;;;;;null;17278
4P 1,8 TFSI SPORT CRO MULTI;;null;null;null;null;;;;;;;;;null;18397
4P 1,8 TFSI SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;17541
4P 1,8 TFSI SPORT ALCANTARA MULTI;;null;null;null;null;;;;;;;;;null;18660
4P 1,8 TFSI SPORT CRO PLUS;;null;null;null;null;;;;;;;;;null;18233
4P 1,8 TFSI SPORT CRO PLUS MULTI;;null;null;null;null;;;;;;;;;null;19352
4P 1,8 TFSI ATTRACTION 2012;;null;null;null;null;;;;;;;19378;18588;17964;16925
4P 1,8 TFSI ATTRACTION MULTI 2012;;null;null;null;null;;;;;;;20889;20037;19365;18244
;0 Km;2025;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012
4P 1,8 TFSI PLUS AMBITION 2012;;null;null;null;null;;;;;;;21536;20658;19965;18810
4P 1,8 TFSI PLUS AMBITION MULTI 2012;;null;null;null;null;;;;;;;23046;22107;21365;20129
AVANT 1,8 TFSI ATTRACTION;;null;null;null;null;;;;;;;;;null;13453
AVANT 1,8 TFSI ATTRACTION MULTITRONIC;;null;null;null;null;;;;;;;;;null;14436
AVANT 1,8 TFSI PLUS AMBITION;;null;null;null;null;;;;;;;;;null;15054
AVANT 1,8 TFSI PLUS AMBITION MULTITRONIC;;null;null;null;null;;;;;;;;;null;16037
AVANT 1,8 TFSI SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;16033
AVANT 1,8 TFSI SPORT ALCANTARA MULTI;;null;null;null;null;;;;;;;;;null;16990
AVANT 1,8 TFSI SPORT CRO;;null;null;null;null;;;;;;;;;null;15808
AVANT 1,8 TFSI SPORT CRO MULTI;;null;null;null;null;;;;;;;;;null;16765
4P 2,0 TFSI ATTRACTION;;null;null;null;null;;;;;;;;;null;15414
4P 2,0 TFSI ATTRACTION MULTI;;null;null;null;null;;;;;;;;;null;16490
4P 2,0 TFSI PLUS AMBITION;;null;null;null;null;;;;;;;;;null;16490
4P 2,0 TFSI PLUS AMBITION MULTI;;null;null;null;null;;;;;;;;;null;17566
4P 2,0 TFSI SPORT ALCANTARA;;null;null;null;null;;;;;;;;;null;16592
4P 2,0 TFSI SPORT ALCANTARA MULTI;;null;null;null;null;;;;;;;;;null;17670
4P 2,0 TFSI SPORT CRO;;null;null;null;null;;;;;;;;;null;16408
4P 2,0 TFSI SPORT CRO MULTI;;null;null;null;null;;;;;;;;;null;17485
